Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"21342-1","Ideas","",2023,"The Insect Collection",,1111,69.99,79.99,99.99,79.99,5702017497877,673419384247,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,88.9900,66.7500,"04/09/2023","31/12/2025"
"21343-1","Ideas","",2023,"Viking Village",4,2103,124.99,129.99,169.99,139.99,5702017497884,673419384858,47.6,37.4,10.7,2.364,"",0,0,0,,0,0,,,,,,,,,140.5300,,"",""
"21344-1","Ideas","Licensed",2023,"The Orient Express Train",,2540,259.99,299.99,389.99,299.99,5702017497891,673419384865,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30629-1","LEGO Games","",2023,"Finnius Dash",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"30630-1","LEGO Games","",2023,"Aquadirt Racer",,61,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.8700,,"",""
"30633-1","Friends","Sports",2023,"Skate Ramp",1,46,,4.99,,,,,17,19.5,1.9,,"",0,0,0,,0,0,,,,,,,,,3.7600,,"01/01/2023","31/12/2023"
"30634-1","Friends","Miscellaneous",2023,"Friendship Flowers",,84,,4.99,,,,,17,19.5,1.9,,"",0,0,0,,0,0,,,,,,,,,3.5100,,"01/01/2023","31/12/2023"
"30635-1","Friends","Sea Rescue",2023,"Beach Cleanup",1,52,,,,,,,17,19.5,1.5,,"",0,0,0,,0,0,,,,,,,,,3.6900,,"01/06/2023","31/12/2024"
"30636-1","Dreamzzz","Trials of the Dream Chasers",2023,"Z-Blob and Bunchu Spider Escape",1,44,,,,,,,17,19.5,1.5,,"",0,0,0,,0,0,,,,,,,,,3.7900,,"01/08/2023","31/12/2024"
"30637-1","Dots","Bag Tag",2023,"Animal Tray and Bag Tag",,94,,4.99,,,,,20,19.5,1.9,,"",0,0,0,,0,0,,,,,,,,,3.1000,,"01/01/2023","31/12/2023"
"30638-1","City","Police",2023,"Police Bike Training",1,36,3.5,,,,5702017421483,,17,19.5,1.5,0.039,"",0,0,0,,0,0,,,,,,,,,3.8300,,"01/01/2023","31/12/2023"
"30639-1","City","Park",2023,"Dog Park and Scooter",1,24,,,,,5702017421490,,17,19.5,1.5,0.024,"",0,0,0,,0,0,,,,,,,,,3.6600,,"01/01/2023","31/12/2023"
"30640-1","City","Racing",2023,"Race Car",1,44,,,,,5702017421506,,17,19.5,1.5,0.043,"",0,0,0,,0,0,,,,,,,,,3.2800,,"01/03/2023","31/12/2023"
"30641-1","Creator","3 in 1",2023,"Panda Bear",,83,,4.99,,,,,17,19.5,1.9,,"",0,0,0,,0,0,,,,,,,,,4.0300,7.9900,"01/01/2023","31/12/2023"
"30642-1","Creator","Seasonal",2023,"Birthday Train",,58,,,,,5702017399850,,17,19.5,1.5,0.037,"",0,0,0,,0,0,,,,,,,,,3.3600,,"01/01/2023","31/12/2023"
"30643-1","Creator","Seasonal",2023,"Easter Chickens",,61,,4.99,,,5702017399867,,17,19.5,1.5,0.044,"",0,0,0,,0,0,,,,,,,,,3.2900,,"01/03/2023","31/12/2023"
"30644-1","Creator","Miscellaneous",2023,"Vintage Car",,59,,,,,5702017399881,,17,19.5,1.5,0.043,"",0,0,0,,0,0,,,,,,,,,4.2100,,"01/01/2023","31/12/2023"
"30645-1","Creator","Seasonal",2023,"Snowman",,78,,,,,5702017421513,,17,19.5,1.9,0.053,"",0,0,0,,0,0,,,,,,,,,3.1100,,"01/06/2023","31/12/2024"
"30646-1","Disney","Moana",2023,"Moana's Dolphin Cove",1,47,,4.99,,,,,17,19.5,1.5,,"",0,0,0,,0,0,,,,,,,,,4.0500,,"01/02/2023","31/12/2023"
"30647-1","Minecraft","Minifig-scale",2023,"The Dripstone Cavern",2,45,,4.99,,,,,17,19.5,1.5,,"",0,0,0,,0,0,,,,,,,,,3.9900,4.0000,"01/01/2023","31/12/2023"
"30648-1","Duplo","",2023,"Whale",,9,,,,,,,20,19.5,2.9,,"",0,0,0,,0,0,,,,,,,,,3.7200,,"01/01/2023","31/12/2023"
"30649-1","Ninjago","Core",2023,"Ice Dragon Creature",,70,,,,,,,17,19.5,1.5,,"",0,0,0,,0,0,,,,,,,,,3.5700,,"01/01/2023","31/12/2023"
"30650-1","Ninjago","Dragons Rising",2023,"Kai and Rapton's Temple Battle",2,47,,,,,,,17,19.5,1.4,,"",0,0,0,,0,0,,,,,,,,,3.9900,9.6100,"01/06/2023","31/12/2024"
"30651-1","Harry Potter","Miscellaneous",2023,"Quidditch Practice",1,55,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.9200,2.4000,"",""
"30652-1","Marvel Super Heroes","Doctor Strange in the Multiverse of Madness",2023,"Doctor Strange's Interdimensional Portal",1,44,,4.99,,,,,17,19.5,1.5,,"",0,0,0,,0,0,,,,,,,,,4.6900,3.3200,"01/02/2023","31/12/2023"
"30653-1","DC Comics Super Heroes","Batman Returns",2023,"Batman 1992",1,40,,4.99,,,,,17,19.5,1.5,,"",0,0,0,,0,0,,,,,,,,,5.9400,,"05/06/2023","31/12/2024"
"30654-1","Star Wars","Episode VI",2023,"X-wing Starfighter",,87,,4.99,,,,,17,19.5,1.5,,"",0,0,0,,0,0,,,,,,,,,3.9100,2.4400,"01/01/2023","31/12/2023"
